1008.HK	貴聯控股
1009.HK	國際娛樂
1010.HK	太睿國際控股
1011.HK	泰凌醫藥
1013.HK	偉俊集團控股
1019.HK	康宏環球
1020.HK	賽伯樂國際控股
1022.HK	飛魚科技
1023.HK	時代集團控股
1025.HK	嘉藝控股
1026.HK	環球實業科技
1027.HK	中國集成控股
1028.HK	千百度
1029.HK	鐵貨
1030.HK	新城發展
1031.HK	金利豐金融
1033.HK	中石化油服
1034.HK	富匯建築控股
1036.HK	萬科海外
1037.HK	雲智匯科技
1038.HK	長江基建集團
1039.HK	鑫網易商
1041.HK	林達控股
1043.HK	光宇國際集團科技
1044.HK	恒安國際
1045.HK	亞太衛星
1046.HK	寰宇娛樂文化
1047.HK	毅興行
1049.HK	時富投資
1050.HK	嘉利國際
1051.HK	國際資源
1052.HK	越秀交通基建
1053.HK	重慶鋼鐵股份
1055.HK	中國南方航空股份
1057.HK	浙江世寶
1058.HK	粵海制革
1059.HK	看通集團
1060.HK	阿里影業
1061.HK	億勝生物科技
1063.HK	新確科技
1064.HK	中華國際
1065.HK	天津創業環保股份
1066.HK	威高股份
1068.HK	雨潤食品
1069.HK	寶沙發展
1070.HK	ＴＣＬ電子
1071.HK	華電國際電力股份
1072.HK	東方電氣
1073.HK	大禹金融
1075.HK	首都信息
1076.HK	博華太平洋
1079.HK	松景科技
1080.HK	勝利管道
1082.HK	香港教育國際
1083.HK	港華燃氣
1084.HK	綠新親水膠體
1085.HK	亨鑫科技
1086.HK	好孩子國際
1087.HK	威訊控股
1088.HK	中國神華
1089.HK	樂遊科技控股
1090.HK	大明國際
1091.HK	中信大錳
1093.HK	石藥集團
1094.HK	中國公共採購
1096.HK	中能國際控股
1097.HK	有線寬頻
1098.HK	路勁
1099.HK	國藥控股
1100.HK	飛達控股
1101.HK	華榮能源
1102.HK	環能國際
1103.HK	大生農業金融
1104.HK	亞太資源
1105.HK	星島
1106.HK	銘霖控股
1107.HK	當代置業
1108.HK	洛陽玻璃股份
1109.HK	華潤置地
1110.HK	金活醫藥集團
1111.HK	創興銀行
1112.HK	H&H國際控股
1113.HK	長實集團
1114.HK	BRILLIANCE CHI
1115.HK	西藏水資源
1116.HK	MAYER HOLDINGS
1117.HK	現代牧業
1118.HK	高力集團
1119.HK	創夢天地
1120.HK	雅視光學
1121.HK	寶峰時尚
1122.HK	慶鈴汽車股份
1123.HK	中港照相
1124.HK	沿海家園
1125.HK	麗豐控股
1126.HK	德林國際
1127.HK	獅子山集團
1128.HK	永利澳門
1129.HK	中國水業集團
1130.HK	中國環境資源
1131.HK	鴻寶資源
1132.HK	橙天嘉禾
1133.HK	哈爾濱電氣
1134.HK	恒發光學
1137.HK	香港電視
1138.HK	中遠海能
1139.HK	華多利集團
1141.HK	民銀資本
1142.HK	西伯利亞礦業
1143.HK	環亞國際實業
1145.HK	勇利投資
1146.HK	中國服飾控股
1147.HK	伊登軟件
1148.HK	新晨動力
1150.HK	米蘭站
1151.HK	依利安達
1152.HK	正乾金融控股
1155.HK	星辰通信
1157.HK	中聯重科
1158.HK	開元酒店
1159.HK	星光文化
1161.HK	奧思集團
1162.HK	瑩嵐集團
1164.HK	中廣核礦業
1165.HK	順風清潔能源
1166.HK	星凱控股
1168.HK	百仕達控股
1169.HK	海爾電器
1170.HK	信星集團
1171.HK	兗州煤業股份
1172.HK	融太集團
1173.HK	威高國際
1175.HK	鮮馳達控股
1176.HK	珠光控股
1177.HK	中國生物製藥
1178.HK	匯銀控股集團
1180.HK	匯彩控股
1181.HK	唐宮中國
1182.HK	勝龍國際
1183.HK	澳能建設
1184.HK	S.A.S. DRAGON
1185.HK	中國航天萬源
1186.HK	中國鐵建
1188.HK	正道集團
1189.HK	大灣區聚變力量
1190.HK	航標控股
1191.HK	中國中石控股
1192.HK	泰山石化
1193.HK	華潤燃氣
1194.HK	灣區黃金
1195.HK	京維集團
1196.HK	偉祿集團
1198.HK	皇朝傢俬
1199.HK	中遠海運港口
1200.HK	美聯集團
1201.HK	天臣控股
1202.HK	成都普天電纜股份
1203.HK	廣南（集團）
1205.HK	中信資源
1206.HK	同方泰德
1207.HK	上置集團
1208.HK	五礦資源
1210.HK	克莉絲汀
1211.HK	比亞迪股份
1212.HK	利福國際
1213.HK	萬保剛集團
1215.HK	開源控股
